kind,city,state,county,latitude,longitude,population
city,Glennallen,AK,,62.153867,-145.844069,
city,Goldstream,AK,,64.942151,-148.027320,
city,Golovin,AK,,64.563902,-162.998943,
city,Goodnews Bay,AK,,59.127165,-161.575325,
city,Grayling,AK,,62.896051,-160.112989,
city,Gulkana,AK,,62.215434,-145.444965,
city,Gustavus,AK,,58.434657,-135.728152,
city,Haines,AK,,59.249681,-135.468816,
city,Halibut Cove,AK,,59.569581,-151.223764,
city,Happy Valley,AK,,59.898514,-151.528868,
city,Harding-Birch Lakes,AK,,64.381305,-146.530601,
city,Healy,AK,,63.959632,-148.970842,
city,Healy Lake,AK,,64.009705,-144.681574,
city,Hobart Bay,AK,,57.417759,-133.306569,
city,Hollis,AK,,55.515474,-132.701922,
city,Holy Cross,AK,,62.185115,-159.858776,
city,Homer,AK,,59.647503,-151.513095,
city,Hoonah,AK,,58.122010,-135.431474,
city,Hooper Bay,AK,,61.509167,-166.111471,
city,Hope,AK,,60.886124,-149.632991,
city,Houston,AK,,61.615303,-149.800610,
city,Hughes,AK,,66.045217,-154.237627,
city,Huslia,AK,,65.705524,-156.310953,
city,Hydaburg,AK,,55.205842,-132.820438,
city,Hyder,AK,,55.981542,-130.038288,
city,Igiugig,AK,,59.300989,-155.863275,
city,Iliamna,AK,,59.778342,-154.883752,
city,Ivanof Bay,AK,,55.918199,-159.493298,
city,Juneau city and,AK,,58.372910,-134.178445,
city,Kachemak,AK,,59.674535,-151.436347,
city,Kake,AK,,56.975320,-133.903663,
city,Kaktovik,AK,,70.121452,-143.629435,
city,Kalifornsky,AK,,60.453399,-151.220302,
city,Kaltag,AK,,64.314143,-158.778761,
city,Karluk,AK,,57.590981,-154.363413,
city,Kasaan,AK,,55.561145,-132.406834,
city,Kasigluk,AK,,60.863820,-162.536598,
city,Kasilof,AK,,60.319336,-151.232884,
city,Kenai,AK,,60.562240,-151.208060,
city,Kenny Lake,AK,,61.621616,-144.821315,
city,Ketchikan,AK,,55.357145,-131.674552,
city,Kiana,AK,,66.972586,-160.434364,
city,King Cove,AK,,55.084993,-162.316806,
city,King Salmon,AK,,58.735227,-156.528544,
city,Kipnuk,AK,,59.937456,-164.062221,
city,Kivalina,AK,,67.726884,-164.535537,
city,Klawock,AK,,55.556425,-133.086130,
city,Klukwan,AK,,59.398295,-135.888230,
city,Knik River,AK,,61.461903,-149.007489,
city,Knik-Fairview,AK,,61.507645,-149.622601,
city,Kobuk,AK,,66.923402,-156.904071,
city,Kodiak,AK,,57.791192,-152.419712,
city,Kodiak Station,AK,,57.767950,-152.595907,
city,Kokhanok,AK,,59.412109,-154.746007,
city,Koliganek,AK,,59.696656,-157.224760,
city,Kongiganak,AK,,59.991638,-162.847017,
city,Kotlik,AK,,63.029190,-163.536654,
city,Kotzebue,AK,,66.877089,-162.503478,
city,Koyuk,AK,,64.941084,-161.145458,
city,Koyukuk,AK,,64.902107,-157.693474,
city,Kupreanof,AK,,56.821295,-132.972152,
city,Kwethluk,AK,,60.793231,-161.430844,
city,Kwigillingok,AK,,59.877575,-163.177317,
city,Lake Louise,AK,,62.301620,-146.540163,
city,Lake Minchumina,AK,,63.790253,-152.461794,
city,Larsen Bay,AK,,57.529893,-154.001155,
city,Lazy Mountain,AK,,61.658227,-148.925582,
city,Levelock,AK,,59.068246,-156.901021,
city,Lime Village,AK,,61.330040,-155.233631,
city,Livengood,AK,,65.476506,-148.422784,
city,Loring,AK,,55.606676,-131.639976,
city,Lowell Point,AK,,60.076063,-149.493807,
city,Lower Kalskag,AK,,61.517121,-160.354650,
city,Lutak,AK,,59.412212,-135.589046,
city,Manley Hot Springs,AK,,65.018757,-150.645281,
city,Manokotak,AK,,58.739523,-158.914501,
city,Marshall,AK,,61.871555,-162.060870,
city,McCarthy,AK,,61.453957,-142.864693,
city,McGrath,AK,,62.938875,-155.568422,
city,Meadow Lakes,AK,,61.637987,-149.609611,
city,Mekoryuk,AK,,60.370179,-166.268173,
city,Mendeltna,AK,,62.146098,-146.758031,
city,Mentasta Lake,AK,,63.011677,-143.561486,
city,Mertarvik,AK,,60.810993,-164.499110,
city,Metlakatla,AK,,55.114699,-131.555726,
city,Mill Bay,AK,,57.815501,-152.367542,
city,Minto,AK,,65.089635,-149.590210,
city,Moose Creek,AK,,64.716369,-147.166627,
city,Moose Pass,AK,,60.505936,-149.468361,
city,Mosquito Lake,AK,,59.475100,-136.199101,
city,Mountain Village,AK,,62.091963,-163.695024,
city,Mud Bay,AK,,59.151183,-135.356493,
city,Nabesna,AK,,62.496548,-143.007430,
city,Naknek,AK,,58.785160,-156.885872,
city,Nanwalek,AK,,59.333848,-151.929558,
city,Napakiak,AK,,60.690541,-161.985573,
city,Napaskiak,AK,,60.702782,-161.753782,
city,Naukati Bay,AK,,55.874121,-133.195015,
city,Nelchina,AK,,62.010403,-146.829938,
city,Nelson Lagoon,AK,,55.836649,-161.635799,
city,Nenana,AK,,64.536054,-149.083629,
city,New Stuyahok,AK,,59.485309,-157.309089,
city,Newhalen,AK,,59.737057,-154.902414,
city,Newtok,AK,,60.935067,-164.645684,
city,Nightmute,AK,,60.462401,-164.834640,
city,Nikiski,AK,,60.725015,-151.225268,
city,Nikolaevsk,AK,,59.829553,-151.596382,
city,Nikolai,AK,,62.999115,-154.374944,
city,Nikolski,AK,,53.007863,-168.718502,
city,Ninilchik,AK,,60.061332,-151.404380,
city,Noatak,AK,,67.589482,-163.010434,
city,Nome,AK,,64.505741,-165.415287,
city,Nondalton,AK,,59.975246,-154.866046,
city,Noorvik,AK,,66.828210,-161.034669,
city,North Lakes,AK,,61.618378,-149.310724,
city,North Pole,AK,,64.752728,-147.362655,
city,Northway,AK,,63.000776,-141.541256,
city,Nuiqsut,AK,,70.213483,-150.989674,
city,Nulato,AK,,64.691283,-158.275350,
city,Nunam Iqua,AK,,62.506887,-164.900554,
city,Nunapitchuk,AK,,60.881739,-162.464569,
city,Old Harbor,AK,,57.218798,-153.329674,
city,Oscarville,AK,,60.723444,-161.788239,
city,Ouzinkie,AK,,57.924660,-152.462388,
city,Palmer,AK,,61.597168,-149.114679,
city,Paxson,AK,,62.975706,-145.757621,
city,Pedro Bay,AK,,59.789585,-154.141274,
city,Pelican,AK,,57.959229,-136.215066,
city,Perryville,AK,,55.934456,-159.155754,
city,Petersburg,AK,,56.756918,-132.874938,
city,Petersville,AK,,62.453484,-150.884124,
city,Pilot Point,AK,,57.541137,-157.722807,
city,Pilot Station,AK,,61.948167,-162.872648,
city,Pitkas Point,AK,,62.037403,-163.268128,
city,Platinum,AK,,58.952583,-161.747032,
city,Pleasant Valley,AK,,64.885468,-146.898550,
city,Point Baker,AK,,56.348132,-133.616794,
city,Point Hope,AK,,68.344210,-166.681159,
city,Point Lay,AK,,69.737117,-162.834120,
city,Point MacKenzie,AK,,61.342700,-150.048525,
city,Point Possession,AK,,60.923081,-150.688844,
city,Pope-Vannoy Landing,AK,,59.570602,-154.447236,
city,Port Alexander,AK,,56.237593,-134.652750,
city,Port Alsworth,AK,,60.156730,-154.339610,
city,Port Clarence,AK,,65.108965,-166.764338,
city,Port Graham,AK,,59.339803,-151.846498,
city,Port Heiden,AK,,56.965241,-158.586416,
city,Port Lions,AK,,57.867012,-152.856248,
city,Port Protection,AK,,56.331881,-133.606420,
city,Portage Creek,AK,,58.905420,-157.669817,
city,Primrose,AK,,60.341624,-149.296448,
city,Prudhoe Bay,AK,,70.365868,-148.749374,
city,Quinhagak,AK,,59.751279,-161.897243,
city,Rampart,AK,,65.404915,-149.921015,
city,Red Devil,AK,,61.757460,-157.358521,
city,Red Dog Mine,AK,,68.064411,-162.866869,
city,Ridgeway,AK,,60.530833,-151.052101,
city,Ruby,AK,,64.723290,-155.500540,
city,Russian Mission,AK,,61.778664,-161.362911,
city,Salamatof,AK,,60.604212,-151.311289,
city,Salcha,AK,,64.534103,-146.883620,
city,Sand Point,AK,,55.313470,-160.484344,
city,Savoonga,AK,,63.679706,-170.483324,
city,Saxman,AK,,55.323165,-131.589150,
city,Scammon Bay,AK,,61.841929,-165.583279,
city,Selawik,AK,,66.598061,-160.000766,
city,Seldovia,AK,,59.439480,-151.710387,
city,Seldovia Village,AK,,59.461270,-151.588755,
city,Seward,AK,,60.124786,-149.391581,
city,Shageluk,AK,,62.661586,-159.551368,
city,Shaktoolik,AK,,64.354481,-161.193514,
city,Shishmaref,AK,,66.232966,-166.125330,
city,Shungnak,AK,,66.880505,-157.149979,
city,Silver Springs,AK,,62.019311,-145.358311,
city,Sitka city and,AK,,57.193204,-135.367396,
